price,manufacturer,condition,fuel,odometer,title_status,transmission,drive,type,paint_color,state,cylinders_num,vehicle age
15498,chevrolet,Unknown,gas,153912.0,clean,automatic,4wd,SUV,white,id,6,3
26525,chevrolet,excellent,diesel,89124.49898564494,clean,automatic,4wd,truck,white,sc,8,5
3800,toyota,good,gas,194000.0,clean,automatic,fwd,SUV,white,la,4,18
3277,subaru,excellent,gas,199000.0,clean,automatic,4wd,hatchback,green,al,4,15
11900,mercedes-benz,Unknown,gas,88375.69717443647,clean,automatic,Unknown,Unknown,white,ny,6,6
19499,hyundai,Unknown,gas,17992.0,clean,automatic,4wd,SUV,black,wa,6,1
501,gmc,excellent,diesel,226307.0,clean,automatic,rwd,sedan,white,ar,4,13
34999,gmc,Unknown,gas,50278.0,clean,automatic,4wd,truck,blue,wa,8,3
6800,jaguar,good,gas,92000.0,clean,automatic,rwd,convertible,black,fl,8,17
11397,chevrolet,excellent,hybrid,57768.0,clean,automatic,fwd,hatchback,grey,in,4,7
5000,volkswagen,good,gas,99100.0,clean,automatic,Unknown,Unknown,white,or,6,11
13997,chevrolet,Unknown,gas,70369.17109094452,clean,automatic,Unknown,SUV,custom,ca,4,3
10000,ford,Unknown,gas,141008.0,clean,automatic,fwd,Unknown,silver,sc,6,7
2000,volvo,excellent,other,75000.0,clean,automatic,fwd,sedan,white,tx,4,19
9860,ford,Unknown,gas,85356.0,clean,automatic,fwd,sedan,black,wi,4,7
21998,lexus,excellent,gas,53527.0,clean,automatic,rwd,sedan,white,ca,6,5
14982,hyundai,Unknown,gas,97819.0,clean,automatic,Unknown,Unknown,white,nc,6,4
15500,ram,excellent,gas,97500.0,lien,automatic,4wd,truck,black,pa,8,7
15998,chevrolet,Unknown,gas,38974.0,clean,automatic,fwd,sedan,silver,mt,4,2
8500,gmc,good,gas,123067.0,clean,automatic,rwd,truck,white,ca,8,18
4999,ford,good,diesel,250000.0,clean,automatic,4wd,truck,white,id,8,16
4999,mazda,Unknown,gas,125145.0,clean,automatic,Unknown,Unknown,white,il,6,10
3950,dodge,Unknown,gas,108000.0,clean,automatic,4wd,Unknown,white,ma,6,17
13998,bmw,Unknown,gas,56905.0,clean,automatic,Unknown,Unknown,blue,ks,6,11
17500,jeep,good,gas,14719.0,clean,automatic,4wd,other,white,nm,6,3
2390,bmw,good,gas,183000.0,clean,automatic,Unknown,Unknown,black,fl,6,16
2600,toyota,fair,gas,233743.0,clean,automatic,4wd,Unknown,green,md,6,23
43750,ram,Unknown,diesel,11506.0,rebuilt,automatic,4wd,truck,white,or,6,2
5800,mercury,excellent,gas,120100.0,clean,automatic,4wd,SUV,black,mi,6,14
12590,hyundai,Unknown,gas,44557.0,clean,automatic,Unknown,sedan,blue,ma,6,2
4495,volkswagen,Unknown,gas,148071.0,clean,manual,fwd,other,silver,ct,6,13
3490,dodge,excellent,gas,76070.0,clean,automatic,fwd,sedan,silver,nc,6,14
16900,gmc,excellent,gas,120444.0,clean,automatic,Unknown,SUV,red,ar,6,5
29995,ford,Unknown,diesel,112000.0,clean,automatic,Unknown,Unknown,white,tx,6,8
47998,rover,excellent,gas,79673.0,clean,automatic,4wd,SUV,black,ca,8,6
12800,lincoln,excellent,gas,26450.0,clean,automatic,fwd,sedan,blue,ny,4,8
4850,honda,good,gas,146100.0,rebuilt,automatic,4wd,SUV,silver,wa,4,13
6495,toyota,Unknown,hybrid,129431.0,clean,automatic,fwd,sedan,custom,pa,4,11
7200,volkswagen,excellent,gas,130.0,clean,manual,fwd,hatchback,black,ny,4,9
10988,toyota,Unknown,gas,92490.0,clean,automatic,fwd,wagon,silver,or,6,9
4995,gmc,good,gas,194000.0,clean,automatic,4wd,SUV,black,ks,6,14
12995,ford,Unknown,gas,90991.0,clean,automatic,fwd,SUV,white,fl,4,5
7900,honda,excellent,gas,165386.0,clean,automatic,fwd,sedan,silver,in,4,6
14600,jeep,good,gas,52107.0,clean,other,Unknown,other,red,co,6,5
5290,hyundai,Unknown,gas,121140.0,clean,automatic,fwd,sedan,white,ny,4,9
2495,hyundai,Unknown,gas,91177.0,clean,automatic,fwd,sedan,silver,sd,4,19
26900,mercedes-benz,excellent,diesel,75432.3837181938,lien,automatic,rwd,Unknown,white,oh,6,3
6950,bmw,good,gas,112360.0,clean,automatic,rwd,sedan,grey,wa,6,12
22800,bmw,good,hybrid,37430.0,clean,other,rwd,hatchback,silver,ga,6,4
4500,chevrolet,good,gas,203482.0,clean,automatic,4wd,pickup,green,de,8,26
17899,chevrolet,Unknown,gas,2375.0,clean,automatic,fwd,SUV,white,ca,4,1
22497,chevrolet,excellent,gas,48221.0,clean,automatic,rwd,other,red,tx,8,12
13500,chevrolet,Unknown,gas,33403.0,clean,automatic,Unknown,Unknown,white,ca,6,4
15979,chevrolet,like new,gas,9275.0,clean,automatic,rwd,coupe,black,or,6,6
1000,jaguar,fair,gas,131500.0,clean,automatic,Unknown,Unknown,white,pa,6,17
3999,toyota,excellent,hybrid,208000.0,clean,automatic,fwd,sedan,white,co,4,14
17598,jeep,Unknown,gas,3535.0,clean,manual,4wd,SUV,red,or,4,2
19995,rover,fair,gas,136972.0,clean,automatic,4wd,SUV,grey,oh,8,9
22500,ford,like new,diesel,94000.0,clean,automatic,4wd,truck,white,fl,8,12
14949,mercedes-benz,Unknown,gas,92690.06868910015,clean,automatic,4wd,SUV,white,mo,6,7
19599,lexus,Unknown,gas,48726.0,clean,automatic,fwd,Unknown,silver,id,6,7
17995,jeep,excellent,gas,114262.02675235768,clean,automatic,Unknown,Unknown,white,ca,6,12
11950,toyota,like new,gas,140958.0,clean,other,4wd,SUV,blue,ri,6,13
5990,gmc,Unknown,gas,188256.0,clean,automatic,Unknown,Unknown,white,ca,6,15
7200,honda,excellent,gas,77000.0,rebuilt,automatic,fwd,sedan,black,ky,4,5
26000,mercedes-benz,Unknown,gas,35010.0,clean,automatic,4wd,sedan,black,il,6,4
18299,ford,Unknown,gas,97055.0,clean,automatic,Unknown,Unknown,black,ar,6,5
16500,jeep,Unknown,gas,364497.0436637796,clean,manual,Unknown,Unknown,white,ny,6,70
10988,chevrolet,Unknown,gas,83644.0,clean,automatic,Unknown,Unknown,white,ia,6,9
